genename	transcript	log2FoldChange	padj
OARD1	NM_145063	0.1868408396	0.5458059594
WBSCR22	NM_001202560,NM_017528,NR_037776,NR_045512	0.0378808931	0.9073049638
PIGZ	NM_025163	0.1223456576	0.8414452317
PRDX5	NM_012094,NM_181651,NM_181652	0.2503133362	0.1180733069
PEX16	NM_004813,NM_057174	-0.300674791	0.183572201
SLC35G2	NM_001097599,NM_001097600,NM_025246	0.3973998197	NA
TPTE2P6	NR_002815	-0.3617046545	NA
RAD9A	NM_001243224,NM_004584	-0.9944356906	4.51456004786431E-006
TMEM70	NM_001040613,NM_017866,NR_033334	-0.6554746658	0.0018251289
GTF2I	NM_001163636,NM_001280800,NM_001518,NM_032999,NM_033000,NM_033001	0.078877101	0.5790187055
CHDH	NM_018397	-0.2048483467	0.5237829463
GLIPR1	NM_006851	-0.3556810577	0.564531262
FAM133B	NM_001040057,NM_001288584,NM_152789,NR_109929	-0.5216279899	0.0336889622
DHX58	NM_024119	1.0799472536	NA
LRRC20	NM_001278211,NM_001278212,NM_001278213,NM_001278214,NM_018205,NM_018239,NM_207119,NR_103467,NR_103468	0.6466624563	0.0147689478
MIIP	NM_021933	-0.2266990382	0.4535683026
LOC285696	NR_027253	0.7981456296	NA
MTAP	NM_002451	-0.5004634627	0.2799546881
CDC73	NM_024529	-0.0778643383	0.6695708759
TMEM57	NM_001282564,NM_018202	-0.3455818686	0.1174334641
LOC101927620	NR_110062	0.0337921737	NA
POTEF	NM_001099771	-0.4246512384	0.274360718
SLC7A5	NM_003486	-0.7858753399	7.12902246387303E-009
EPN2	NM_001102664,NM_014964,NM_148921	-0.062059799	0.7717683621
FAM136A	NM_032822	0.0802094926	0.6998890575
C11orf58	NM_014267	-0.2974394169	0.044638524
PIKFYVE	NM_001178000,NM_015040,NM_152671	-0.6395664015	1.42651656478451E-005
IQUB	NM_001282855,NM_178827,NR_104244,NR_104245	0.0859496533	NA
RUVBL1	NM_003707	0.1979968292	0.4651088859
RPS3A	NM_001006,NM_001267699	0.5141666051	3.87362537623897E-005
